jurisdiction,state_code,vertical,typical_format,public_granularity,recommended_wave,official_landing_url,source_checked_at_utc,reporting_frequency,available_history,channel_coverage,collection_status,status_note,next_action,coverage_database,research_evidence,staged_rows,staged_periods
Montana,MT,online_sports_betting,none identified,unknown,99,https://montanalottery.com/annual-reports/,2026-09-05,none identified,none identified,location based mobile / retail,combined_reporting_only,Lottery sportsbook is location based; aggregate Sports Bet reports do not isolate mobile wagers from terminals. Annual financial statements are not statewide remote-online GGR.,Keep location-based activity separate from statewide online. Use separately identified mobile values only if an official report supplies them.,data/staging/gaming_nationwide.sqlite,https://montanalottery.com/ [200] | https://montanalottery.com/annual-reports/ [200],0,0
Montana,MT,online_casino,none identified,unknown,99,https://montanalottery.com/annual-reports/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://montanalottery.com/ [200] | https://montanalottery.com/annual-reports/ [200],0,0
North Carolina,NC,online_sports_betting,PDF,statewide,3,https://ncgaming.gov/reports/,2026-09-05,monthly,2024-03-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://ncgaming.gov/reports/ [200],31,29
North Carolina,NC,online_casino,none identified,unknown,99,https://ncgaming.gov/reports/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://ncgaming.gov/reports/ [200],0,0
North Dakota,ND,online_sports_betting,none identified,unknown,99,https://attorneygeneral.nd.gov/licensing-and-gaming/gaming/,2026-09-05,none identified,none identified,not offered,product_not_offered,Attorney General gaming page explicitly prohibits online gaming except charitable raffles; tribal casino reporting is separate.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://attorneygeneral.nd.gov/licensing-and-gaming/gaming/ [200],0,0
North Dakota,ND,online_casino,none identified,unknown,99,https://attorneygeneral.nd.gov/licensing-and-gaming/gaming/,2026-09-05,none identified,none identified,not offered,product_not_offered,Attorney General gaming page explicitly prohibits online gaming except charitable raffles; tribal casino reporting is separate.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://attorneygeneral.nd.gov/licensing-and-gaming/gaming/ [200],0,0
Nebraska,NE,online_sports_betting,none identified,unknown,99,https://nrgc.nebraska.gov/gaming/sports-betting,2026-09-05,none identified,none identified,retail only,product_not_offered,NRGC sports-betting page explicitly says online/mobile sports wagering is not currently authorized. Racetrack retail reports are outside this series.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://nrgc.nebraska.gov/gaming/sports-betting [200],0,0
Nebraska,NE,online_casino,none identified,unknown,99,https://nrgc.nebraska.gov/gaming/sports-betting,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://nrgc.nebraska.gov/gaming/sports-betting [200],0,0
New Hampshire,NH,online_sports_betting,PDF,statewide,3,https://nhlottery.com/About-Us/Financial-Reports,2026-09-05,monthly,2019-12-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://nhlottery.com/About-Us/Financial-Reports [200],80,80
New Hampshire,NH,online_casino,none identified,unknown,99,https://nhlottery.com/About-Us/Financial-Reports,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://nhlottery.com/About-Us/Financial-Reports [200],0,0
New Jersey,NJ,online_sports_betting,PDF/Excel,brand and statewide,2,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/financial-and-statistical-information/monthly-sports-wagering-revenue-reports/,2026-09-05,monthly,2018-06-01 to 2026-07-31,online,partially_collected,Sports handle is missing. The 98 retained sports PDFs were replayed into staging using the repaired parser; missing tax/taxable cells remain missing. Original database keeps its older fields. Native reporting names are not a proven complete brand denominator.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/financial-and-statistical-information/monthly-sports-wagering-revenue-reports/ [200] | https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/financial-and-statistical-information/monthly-internet-gross-revenue-reports/ [200],1422,98
New Jersey,NJ,online_casino,PDF/Excel,licensee and statewide,2,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/financial-and-statistical-information/monthly-internet-gross-revenue-reports/,2026-09-05,monthly,2016-01-01 to 2026-07-31,online,partially_collected,Sports handle is missing. The 98 retained sports PDFs were replayed into staging using the repaired parser; missing tax/taxable cells remain missing. Original database keeps its older fields. Native reporting names are not a proven complete brand denominator.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/financial-and-statistical-information/monthly-sports-wagering-revenue-reports/ [200] | https://www.njoag.gov/about/divisions-and-offices/division-of-gaming-enforcement-home/financial-and-statistical-information/monthly-internet-gross-revenue-reports/ [200],971,127
New Mexico,NM,online_sports_betting,none identified,unknown,99,https://www.gcb.nm.gov/2021/01/18/what-types-of-games-and-activities-are-prohibited-by-law/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed Gaming Control Board FAQs and licensure pages; reported tribal/track activity does not establish statewide online coverage. No separately reported online series found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.gcb.nm.gov/2021/01/18/what-types-of-games-and-activities-are-prohibited-by-law/ [200],0,0
New Mexico,NM,online_casino,none identified,unknown,99,https://www.gcb.nm.gov/2021/01/18/what-types-of-games-and-activities-are-prohibited-by-law/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed Gaming Control Board FAQs and licensure pages; reported tribal/track activity does not establish statewide online coverage. No separately reported online series found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.gcb.nm.gov/2021/01/18/what-types-of-games-and-activities-are-prohibited-by-law/ [200],0,0
Nevada,NV,online_sports_betting,PDF,combined sports pools,5,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,2026-09-05,monthly,2020-01-01 to 2026-07-31,online,partially_collected,Mobile-only win starts January 2020 in this archive. April/May 2020 sports rows are visibly suppressed in the official PDFs. June/July 2025 are hash-bound visual transcriptions. Handle cannot be recovered from rounded hold.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/ [200],77,77
Nevada,NV,online_casino,none identified,unknown,99,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,2026-09-05,none identified,none identified,interactive poker / land-based card games not isolated,combined_reporting_only,The published GRI reports card-game revenue without an online-only poker split. Interactive gaming is not a broad online slots/table-game series. No public online casino denominator is established.,Require a separately published interactive-game revenue figure; do not use the combined Card Games line.,data/staging/gaming_nationwide.sqlite,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/ [200],0,0
New York,NY,online_sports_betting,Excel and PDF,operator and statewide,1,https://gaming.ny.gov/revenue-reports,2026-09-05,weekly,2022-01-03 to 2026-08-23,online,collected_and_validated,Weekly cash-basis mobile handle/GGR; overlapping month boundaries are not allocated into calendar months.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://gaming.ny.gov/revenue-reports [200],2288,242
New York,NY,online_casino,none identified,unknown,99,https://gaming.ny.gov/revenue-reports,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://gaming.ny.gov/revenue-reports [200],0,0
Ohio,OH,online_sports_betting,PDF,operator and statewide,3,https://casinocontrol.ohio.gov/,2026-09-05,monthly,2023-01-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://casinocontrol.ohio.gov/ [404],745,43
Ohio,OH,online_casino,none identified,unknown,99,https://casinocontrol.ohio.gov/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://casinocontrol.ohio.gov/ [404],0,0
Oklahoma,OK,online_sports_betting,none identified,unknown,99,https://www.okc.gov/Services/Public-Safety/Police/Investigative-Units/Special-Operations,2026-09-05,none identified,none identified,unknown,no_public_series_found,"Official Oklahoma City police FAQ says sports betting is not authorized; direct access returned 403, with the official indexed page still readable. No online casino operating series identified.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.okc.gov/Services/Public-Safety/Police/Investigative-Units/Special-Operations [403 Client Error: Forbidden for url: https://www.okc.gov/Services/Public-Safety/Police/Investigative-Units/Special-Operations],0,0
Oklahoma,OK,online_casino,none identified,unknown,99,https://www.okc.gov/Services/Public-Safety/Police/Investigative-Units/Special-Operations,2026-09-05,none identified,none identified,unknown,no_public_series_found,"Official Oklahoma City police FAQ says sports betting is not authorized; direct access returned 403, with the official indexed page still readable. No online casino operating series identified.",Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.okc.gov/Services/Public-Safety/Police/Investigative-Units/Special-Operations [403 Client Error: Forbidden for url: https://www.okc.gov/Services/Public-Safety/Police/Investigative-Units/Special-Operations],0,0
Oregon,OR,online_sports_betting,HTML/annual report,statewide,5,https://www.oregonlottery.org/about/how-we-operate/commission-and-director-info/,2026-09-05,monthly,2025-07-01 to 2026-07-31,online,partially_collected,Public commission archive is rolling; currently retained monthly statements start July 2025. Older meeting materials require a public-records request. Draft/approved copies retained; any financial disagreement remains a conflict. Non-GAAP; annual reports not disaggregated into months.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.oregonlottery.org/annual-report-2025/ [200] | https://www.oregonlottery.org/about/commission/ [200] | https://www.oregonlottery.org/about/commission-and-director/ [200] | https://www.oregonlottery.org/about/how-we-operate/commission-meeting-august-28-2026/ [200] | https://www.oregonlottery.org/wp-content/uploads/2026/08/Commission-August-2026-Draft-financial-statements-July-2026.pdf [200] | https://www.oregonlottery.org/wp-content/uploads/2025/09/Commission-September-2025-Draft-financial-statements-August-2025.pdf [200],29,13
Oregon,OR,online_casino,none identified,unknown,99,https://www.oregonlottery.org/about/how-we-operate/commission-and-director-info/,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.oregonlottery.org/annual-report-2025/ [200] | https://www.oregonlottery.org/about/commission/ [200] | https://www.oregonlottery.org/about/commission-and-director/ [200] | https://www.oregonlottery.org/about/how-we-operate/commission-meeting-august-28-2026/ [200] | https://www.oregonlottery.org/wp-content/uploads/2026/08/Commission-August-2026-Draft-financial-statements-July-2026.pdf [200] | https://www.oregonlottery.org/wp-content/uploads/2025/09/Commission-September-2025-Draft-financial-statements-August-2025.pdf [200],0,0
Pennsylvania,PA,online_sports_betting,Excel and PDF,operator and statewide,1,https://gamingcontrolboard.pa.gov/news-and-transparency/revenue,2026-09-05,monthly,2019-07-01 to 2026-07-31,online,collected_and_validated,Staging replays original sports workbooks and now retains printed Revenue as GGR alongside Gross Revenue (Taxable). Casino handle covers slot/table wagers but excludes poker rake volume; do not calculate blended casino hold.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://gamingcontrolboard.pa.gov/news-and-transparency/revenue [200],1060,85
Pennsylvania,PA,online_casino,Excel and PDF,operator and statewide,1,https://gamingcontrolboard.pa.gov/news-and-transparency/revenue,2026-09-05,monthly,2019-07-01 to 2026-07-31,online,collected_and_validated,Staging replays original sports workbooks and now retains printed Revenue as GGR alongside Gross Revenue (Taxable). Casino handle covers slot/table wagers but excludes poker rake volume; do not calculate blended casino hold.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://gamingcontrolboard.pa.gov/news-and-transparency/revenue [200],936,85
Rhode Island,RI,online_sports_betting,PDF,facility/online and statewide,3,https://www.rilot.com/en-us/about-us/financials.html,2026-09-05,monthly,2019-09-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.rilot.com/en-us/about-us/financials.html [200],83,83
Rhode Island,RI,online_casino,PDF,statewide/game type,3,https://www.rilot.com/en-us/about-us/financials.html,2026-09-05,monthly,2024-03-01 to 2026-07-31,online,collected_and_validated,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.rilot.com/en-us/about-us/financials.html [200],29,29
South Carolina,SC,online_sports_betting,none identified,unknown,99,https://www.sled.sc.gov/index.php/departments/narcotics-alcohol-vice-special-operations-and-investigations,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed SLED gambling guidance and the cited state gambling-code source. No official online sportsbook/casino operating revenue archive found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.sled.sc.gov/index.php/departments/narcotics-alcohol-vice-special-operations-and-investigations [200],0,0
South Carolina,SC,online_casino,none identified,unknown,99,https://www.sled.sc.gov/index.php/departments/narcotics-alcohol-vice-special-operations-and-investigations,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed SLED gambling guidance and the cited state gambling-code source. No official online sportsbook/casino operating revenue archive found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.sled.sc.gov/index.php/departments/narcotics-alcohol-vice-special-operations-and-investigations [200],0,0
South Dakota,SD,online_sports_betting,none identified,unknown,99,https://dor.sd.gov/newsroom/beware-of-fraudulent-online-casinos/,2026-09-05,none identified,none identified,not offered,product_not_offered,Department of Revenue explicitly says online casino-style games and online sports wagering are unauthorized; retail Deadwood activity is excluded.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://dor.sd.gov/newsroom/beware-of-fraudulent-online-casinos/ [200],0,0
South Dakota,SD,online_casino,none identified,unknown,99,https://dor.sd.gov/newsroom/beware-of-fraudulent-online-casinos/,2026-09-05,none identified,none identified,not offered,product_not_offered,Department of Revenue explicitly says online casino-style games and online sports wagering are unauthorized; retail Deadwood activity is excluded.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://dor.sd.gov/newsroom/beware-of-fraudulent-online-casinos/ [200],0,0
Tennessee,TN,online_sports_betting,CSV and PDF,statewide,1,https://www.tn.gov/swac/reports,2026-09-05,monthly,2023-11-01 to 2026-07-31,online,collected_and_validated,"Current series is handle and privilege tax, not GGR. Do not backsolve revenue from tax. Earlier tax regimes are not mixed into this metric series.","Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://www.tn.gov/swac/reports [200],33,33
Tennessee,TN,online_casino,none identified,unknown,99,https://www.tn.gov/swac/reports,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.tn.gov/swac/reports [200],0,0
Texas,TX,online_sports_betting,none identified,unknown,99,https://guides.sll.texas.gov/gambling/sports-gambling,2026-09-05,none identified,none identified,not offered,product_not_offered,Texas State Law Library sports-gambling guide explicitly states that online sports betting remains illegal; no regulated operating series.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://guides.sll.texas.gov/gambling/sports-gambling [200],0,0
Texas,TX,online_casino,none identified,unknown,99,https://guides.sll.texas.gov/gambling/sports-gambling,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://guides.sll.texas.gov/gambling/sports-gambling [200],0,0
Utah,UT,online_sports_betting,none identified,unknown,99,https://le.utah.gov/xcode/Title76/Chapter10/C76-10-S1102_2020032820200328.pdf,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed official gambling-code material. The retained section is marked renumbered in 2025; do not treat that historical section alone as current law. No operating revenue archive found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://le.utah.gov/xcode/Title76/Chapter10/C76-10-S1102_2020032820200328.pdf [200],0,0
Utah,UT,online_casino,none identified,unknown,99,https://le.utah.gov/xcode/Title76/Chapter10/C76-10-S1102_2020032820200328.pdf,2026-09-05,none identified,none identified,unknown,no_public_series_found,Reviewed official gambling-code material. The retained section is marked renumbered in 2025; do not treat that historical section alone as current law. No operating revenue archive found.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://le.utah.gov/xcode/Title76/Chapter10/C76-10-S1102_2020032820200328.pdf [200],0,0
Virginia,VA,online_sports_betting,PDF,statewide,3,https://www.valottery.com/aboutus/casinosandsportsbetting/sportsbetting,2026-09-05,monthly,Monthly official reports; July 2026 PDF inspected,online and retail combined,combined_reporting_only,Lottery release archive and legislative report RD532 were inspected. July 2026 totals cover 11 mobile and 3 land-based sportsbooks together; no separate online AGR/tax table found. News pages load release bodies through JavaScript.,Find a regulator mobile-only breakdown; retain combined values outside online comparisons. Evidence: https://rga.lis.virginia.gov/Published/2026/RD532/PDF,data/staging/gaming_nationwide.sqlite,https://www.valottery.com/about-us/casinosandsportsbetting/sportsbetting [200] | https://rga.lis.virginia.gov/Published/2026/RD532/PDF [200] | https://www.valottery.com/aboutus/casinosandsportsbetting/sportsbetting [200] | https://valottery.com/winnersnews/latestwinners?itemId={72295D43-4BD5-47A9-B90A-8D147ECA257C} [200] | https://valottery.com/winnersnews/latestwinners?itemId={398F438F-4284-4111-AB7C-209A3F08A100} [200],0,0
Virginia,VA,online_casino,none identified,unknown,99,https://www.valottery.com/aboutus/casinosandsportsbetting/sportsbetting,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://www.valottery.com/about-us/casinosandsportsbetting/sportsbetting [200] | https://rga.lis.virginia.gov/Published/2026/RD532/PDF [200] | https://www.valottery.com/aboutus/casinosandsportsbetting/sportsbetting [200] | https://valottery.com/winnersnews/latestwinners?itemId={72295D43-4BD5-47A9-B90A-8D147ECA257C} [200] | https://valottery.com/winnersnews/latestwinners?itemId={398F438F-4284-4111-AB7C-209A3F08A100} [200],0,0
Vermont,VT,online_sports_betting,PDF,statewide,3,https://liquorandlottery.vermont.gov/monthly-reports,2026-09-05,monthly,2024-01-01 to 2026-07-31,online,collected_and_validated,"Monthly source reports January 2024 onward; two broken-font reports use hash-bound transcriptions. Revenue share is contractual, not a uniform statutory tax.","Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://liquorandlottery.vermont.gov/sports-wagering [200] | https://liquorandlottery.vermont.gov/monthly-reports [200] | https://liquorandlottery.vermont.gov/monthly-sports-wagering-reports-2026 [200] | https://liquorandlottery.vermont.gov/monthly-sports-wagering-reports-2024 [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/SW_Exec_Sum_Rpt_January_2026.pdf [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/SW_Exec_Sum_Rpt_July_2026.pdf [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/UpdatedSWExecSumRptDecember2024111.pdf [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/SW_Jan_2024_SUM_0.pdf [200],31,31
Vermont,VT,online_casino,none identified,unknown,99,https://liquorandlottery.vermont.gov/monthly-reports,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://liquorandlottery.vermont.gov/sports-wagering [200] | https://liquorandlottery.vermont.gov/monthly-reports [200] | https://liquorandlottery.vermont.gov/monthly-sports-wagering-reports-2026 [200] | https://liquorandlottery.vermont.gov/monthly-sports-wagering-reports-2024 [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/SW_Exec_Sum_Rpt_January_2026.pdf [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/SW_Exec_Sum_Rpt_July_2026.pdf [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/UpdatedSWExecSumRptDecember2024111.pdf [200] | https://liquorandlottery.vermont.gov/sites/liqlot/files/documents/SW_Jan_2024_SUM_0.pdf [200],0,0
Washington,WA,online_sports_betting,none identified,unknown,99,https://wsgc.wa.gov/tribal-partnerships/sports-wagering/sports-wagering-requirements-and-rules,2026-09-05,none identified,none identified,location based mobile / retail,combined_reporting_only,WSGC requires mobile sports wagers to be geofenced to tribal casino premises. No separately published mobile-only revenue series identified.,Keep location-based activity separate from statewide online. Use separately identified mobile values only if an official report supplies them.,data/staging/gaming_nationwide.sqlite,https://wsgc.wa.gov/tribal-partnerships/sports-wagering/sports-wagering-requirements-and-rules [200],0,0
Washington,WA,online_casino,none identified,unknown,99,https://wsgc.wa.gov/tribal-partnerships/sports-wagering/sports-wagering-requirements-and-rules,2026-09-05,none identified,none identified,unknown,no_public_series_found,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://wsgc.wa.gov/tribal-partnerships/sports-wagering/sports-wagering-requirements-and-rules [200],0,0
Wisconsin,WI,online_sports_betting,none identified,unknown,99,https://doa.wi.gov/Pages/AboutDOA/Frequently-Asked-Questions.aspx,2026-09-05,none identified,none identified,location based mobile / retail,reporting_pending,DOA FAQ describes tribal reservation/facility sports wagering; Act 247 enables further compact work. No statewide online operating series or confirmed launch report found. Do not infer a launch from passage of the Act.,Keep location-based activity separate from statewide online. Use separately identified mobile values only if an official report supplies them.,data/staging/gaming_nationwide.sqlite,https://doa.wi.gov/Pages/AboutDOA/Frequently-Asked-Questions.aspx [200],0,0
Wisconsin,WI,online_casino,none identified,unknown,99,https://doa.wi.gov/Pages/AboutDOA/Frequently-Asked-Questions.aspx,2026-09-05,none identified,none identified,unknown,no_public_series_found,DOA FAQ describes tribal reservation/facility sports wagering; Act 247 enables further compact work. No statewide online operating series or confirmed launch report found. Do not infer a launch from passage of the Act.,Recheck the named official source for a product launch or separate public series; retain no zero observations.,data/staging/gaming_nationwide.sqlite,https://doa.wi.gov/Pages/AboutDOA/Frequently-Asked-Questions.aspx [200],0,0
West Virginia,WV,online_sports_betting,PDF/HTML,licensee and statewide,2,https://business.wvlottery.com/resourcesPayments,2026-09-05,weekly,2020-07-01 to 2026-08-22,online,collected_and_validated,Weekly periods remain as reported. Casino Revenue and sports Total Taxable Receipts are different metrics. Do not allocate weeks across calendar months.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://business.wvlottery.com/resourcesPayments [200],1956,326
West Virginia,WV,online_casino,PDF/HTML,licensee and statewide,2,https://business.wvlottery.com/resourcesPayments,2026-09-05,weekly,2020-07-12 to 2026-08-22,online,collected_and_validated,Weekly periods remain as reported. Casino Revenue and sports Total Taxable Receipts are different metrics. Do not allocate weeks across calendar months.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://business.wvlottery.com/resourcesPayments [200],1515,325
Wyoming,WY,online_sports_betting,PDF,combined report with online section,3,https://gaming.wyo.gov/revenue-reports/financial-reports/combined-wagering-activity-reports,2026-09-05,monthly,2021-09-01 to 2026-07-31,online,partially_collected,Historical statewide summaries become operator tables. April/May 2023 copies differ by pennies; December 2023 copies differ in tax availability. Consolidation flags all three as conflicting sources. Original net proceeds and later taxable revenue stay separate.,"Use notebook 90 to check the requested metric, missing periods, source versions and operator coverage before analysis.",data/staging/gaming_nationwide.sqlite,https://gaming.wyo.gov/revenue-reports/financial-reports [200] | https://gaming.wyo.gov/revenue-reports/financial-reports/combined-wagering-activity-reports [200] | https://gaming.wyo.gov/revenue-reports/historical-revenue-reports [200] | https://drive.google.com/uc?export=download&id=1n4T9M_mMy5sV6J5SCwRSvP4qimM-2Eyb [200] | https://drive.google.com/uc?export=download&id=1XAHpwXYOGDbBh43zeHKRrZ5XcdqVcqbV [200] | https://gaming.wyo.gov/revenue-reports/historical-revenue-reports/osw [200] | https://gaming.wyo.gov/revenue-reports/historical-revenue-reports/archive-combined-wagering-activity-2023 [200],270,59
