state_code,vertical,storage_column,source_label,definition,units,reporting_frequency,timing_basis,promotions_and_deductions,channel,reporting_granularity,definition_applies_from,definition_applies_to,evidence_period,source_url,source_file,limitations
IN,online_sports_betting,gross_revenue,Gross Receipts,Native reported gaming win/receipts in this source. Detailed deduction and timing equivalence is not established merely by this storage name.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.in.gov/igc/files/reports/2026/2026-07-Revenue.xlsx,data/raw/IN/2026-09-03/a584b9043116e7d1beda842c500b9b99a2465f3fe132ef137656d7d844b97501_2026-07-Revenue.xlsx,Legacy calculated totals remain classified as derived. Gross Receipts and Taxable AGR are distinct source labels; do not assume every historical report has both. Definition validity across the whole stored history has not been inferred from this example.
IN,online_sports_betting,taxable_revenue,Taxable AGR,Reported tax-base revenue after permitted adjustments; not gross win or a tax payment.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.in.gov/igc/files/reports/2026/2026-07-Revenue.xlsx,data/raw/IN/2026-09-03/a584b9043116e7d1beda842c500b9b99a2465f3fe132ef137656d7d844b97501_2026-07-Revenue.xlsx,Legacy calculated totals remain classified as derived. Gross Receipts and Taxable AGR are distinct source labels; do not assume every historical report has both. Definition validity across the whole stored history has not been inferred from this example.
IN,online_sports_betting,tax,Tax,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,unknown; inspect the linked report and applicable footnotes before comparing periods or states,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.in.gov/igc/files/reports/2026/2026-07-Revenue.xlsx,data/raw/IN/2026-09-03/a584b9043116e7d1beda842c500b9b99a2465f3fe132ef137656d7d844b97501_2026-07-Revenue.xlsx,Legacy calculated totals remain classified as derived. Gross Receipts and Taxable AGR are distinct source labels; do not assume every historical report has both. Definition validity across the whole stored history has not been inferred from this example.
IN,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.in.gov/igc/publications/monthly-revenue/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
KS,online_sports_betting,handle,Settled Wagers,Reported wager volume for the selected online channel; not revenue.,USD,monthly,settled wagers,"Promotional deductions, federal excise and loss carryovers are explicit source columns. Dashes remain missing; negative carryovers are not recast as negative GGR.",online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.kslottery.gov/media/dmud1szp/sports-wagering-monthly-detail-2026-07.pdf,data\raw\KS\2026-09-05\de2d681330dd859a53b5e85eb3197e898dc7d4745ff7e4c8d09b42d5771c3c96_sports-wagering-monthly-detail-2026-07.pdf,Current detail archive starts January 2023; September-December 2022 detail not linked. Two 2025 image reports are transcribed by exact hash. Dashes remain missing; net carryover is separate from Net Revenues. Definition validity across the whole stored history has not been inferred from this example.
KS,online_sports_betting,net_proceeds,Net Revenues,"Reported revenue after prizes, promotional deductions, federal excise and applicable carryover treatment. Negative end-of-month carryover is printed separately; it is not this revenue column.",USD,monthly,settled wagers with deductions,"Promotional deductions, federal excise and loss carryovers are explicit source columns. Dashes remain missing; negative carryovers are not recast as negative GGR.",online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.kslottery.gov/media/dmud1szp/sports-wagering-monthly-detail-2026-07.pdf,data\raw\KS\2026-09-05\de2d681330dd859a53b5e85eb3197e898dc7d4745ff7e4c8d09b42d5771c3c96_sports-wagering-monthly-detail-2026-07.pdf,Current detail archive starts January 2023; September-December 2022 detail not linked. Two 2025 image reports are transcribed by exact hash. Dashes remain missing; net carryover is separate from Net Revenues. Definition validity across the whole stored history has not been inferred from this example.
KS,online_sports_betting,tax,State Share,Reported State Share. Keep the native state-share meaning; it is not a universal tax measure.,USD,monthly,unknown,"Promotional deductions, federal excise and loss carryovers are explicit source columns. Dashes remain missing; negative carryovers are not recast as negative GGR.",online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.kslottery.gov/media/dmud1szp/sports-wagering-monthly-detail-2026-07.pdf,data\raw\KS\2026-09-05\de2d681330dd859a53b5e85eb3197e898dc7d4745ff7e4c8d09b42d5771c3c96_sports-wagering-monthly-detail-2026-07.pdf,Current detail archive starts January 2023; September-December 2022 detail not linked. Two 2025 image reports are transcribed by exact hash. Dashes remain missing; net carryover is separate from Net Revenues. Definition validity across the whole stored history has not been inferred from this example.
KS,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://www.kslottery.gov/publications/sports-monthly-detail-breakdown/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
KY,online_sports_betting,handle,Wagers,Reported wager volume for the selected online channel; not revenue.,USD,monthly,settled wagers,Federal excise is deducted from AGR. Promotion/bonus treatment beyond the printed glossary is unknown; do not call AGR gross win.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2025-04-01 to 2025-04-30,https://dcg.ky.gov/Documents/2025-06-24%20Meeting%20Materials%20PUBLIC.pdf,data\raw\KY\2026-09-05\7f5d45a445bf4f13b90f2e63792eff205d9c9c5030db821313ea993e81b91641_2025-06-24-meeting.pdf,"Only March-April 2025 statewide online figures transcribed from official June 2025 meeting packet, PDF pages 123-124. Tableau view returned UnexpectedError and CSV export HTTP 404. Other packet images/operator cells are not transcribed; no claim of complete history. Definition validity across the whole stored history has not been inferred from this example."
KY,online_sports_betting,adjusted_revenue,Adjusted Gross Revenue,"Settled wagers collected on sporting events less winnings paid and federal excise taxes, as defined in the meeting-packet glossary.",USD,monthly,settled wagers less winnings and excise,Federal excise is deducted from AGR. Promotion/bonus treatment beyond the printed glossary is unknown; do not call AGR gross win.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2025-04-01 to 2025-04-30,https://dcg.ky.gov/Documents/2025-06-24%20Meeting%20Materials%20PUBLIC.pdf,data\raw\KY\2026-09-05\7f5d45a445bf4f13b90f2e63792eff205d9c9c5030db821313ea993e81b91641_2025-06-24-meeting.pdf,"Only March-April 2025 statewide online figures transcribed from official June 2025 meeting packet, PDF pages 123-124. Tableau view returned UnexpectedError and CSV export HTTP 404. Other packet images/operator cells are not transcribed; no claim of complete history. Definition validity across the whole stored history has not been inferred from this example."
KY,online_sports_betting,tax,Kentucky Excise Tax,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,Federal excise is deducted from AGR. Promotion/bonus treatment beyond the printed glossary is unknown; do not call AGR gross win.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2025-04-01 to 2025-04-30,https://dcg.ky.gov/Documents/2025-06-24%20Meeting%20Materials%20PUBLIC.pdf,data\raw\KY\2026-09-05\7f5d45a445bf4f13b90f2e63792eff205d9c9c5030db821313ea993e81b91641_2025-06-24-meeting.pdf,"Only March-April 2025 statewide online figures transcribed from official June 2025 meeting packet, PDF pages 123-124. Tableau view returned UnexpectedError and CSV export HTTP 404. Other packet images/operator cells are not transcribed; no claim of complete history. Definition validity across the whole stored history has not been inferred from this example."
KY,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://khrc.ky.gov/newstatic_info.aspx/utils/newstatic_Info.aspx?menuid=80&static_ID=722,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
LA,online_sports_betting,handle,Wagers Written,Reported wager volume for the selected online channel; not revenue.,USD,monthly,wagers written,Promo Deduct. is separately printed; net proceeds are not interchangeable with unadjusted win. Tax Paid can reflect payment timing.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://lsp.org/media/gwzfpaaa/fy27_mobile_sb_2026_07.xlsx,data/raw/LA/2026-09-03/1f88ad28e35f82458c10ac0fe23aaace08673cb21a5ea5e4aed6d60d69054b2d_fy27_mobile_sb_2026_07.xlsx,FY22 workbook final two rows print July/August 2021 where May/June 2022 are expected. Those conflicting dates are excluded in staging; no replacement months invented. January 2022 is a partial launch month. Definition validity across the whole stored history has not been inferred from this example.
LA,online_sports_betting,net_proceeds,Net Proceeds,Native reported net receipts/proceeds. Detailed deduction rules need source-period review; do not rename this GGR.,USD,monthly,unknown,Promo Deduct. is separately printed; net proceeds are not interchangeable with unadjusted win. Tax Paid can reflect payment timing.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://lsp.org/media/gwzfpaaa/fy27_mobile_sb_2026_07.xlsx,data/raw/LA/2026-09-03/1f88ad28e35f82458c10ac0fe23aaace08673cb21a5ea5e4aed6d60d69054b2d_fy27_mobile_sb_2026_07.xlsx,FY22 workbook final two rows print July/August 2021 where May/June 2022 are expected. Those conflicting dates are excluded in staging; no replacement months invented. January 2022 is a partial launch month. Definition validity across the whole stored history has not been inferred from this example.
LA,online_sports_betting,tax,Taxes Paid,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,cash / taxes paid,Promo Deduct. is separately printed; net proceeds are not interchangeable with unadjusted win. Tax Paid can reflect payment timing.,online,"official_statewide_total; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://lsp.org/media/gwzfpaaa/fy27_mobile_sb_2026_07.xlsx,data/raw/LA/2026-09-03/1f88ad28e35f82458c10ac0fe23aaace08673cb21a5ea5e4aed6d60d69054b2d_fy27_mobile_sb_2026_07.xlsx,FY22 workbook final two rows print July/August 2021 where May/June 2022 are expected. Those conflicting dates are excluded in staging; no replacement months invented. January 2022 is a partial launch month. Definition validity across the whole stored history has not been inferred from this example.
LA,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://lgcb.dps.louisiana.gov/reports/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
MA,online_sports_betting,handle,Wagers,Reported wager volume for the selected online channel; not revenue.,USD,monthly,settled wagers,Taxable revenue has promotional/other adjustments; Accrual Win is retained separately. Never substitute taxable revenue for win.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://massgaming.com/wp-content/uploads/MGC-Revenue-Report-July-2026.pdf,data/raw/MA/2026-09-03/ccac154845a1a2e63dac0a33a9d725edf6eeaa2f2037365c9175596c92891517_MGC-Revenue-Report-July-2026.pdf,Settled wagers and Accrual Win are distinct from Taxable Gaming Revenue; promotional adjustments must be reviewed. Partial launch month March 2023. Definition validity across the whole stored history has not been inferred from this example.
MA,online_sports_betting,gross_revenue,Accrual Win,"Accrual Win from settled sports wagers, retained separately from the taxable gaming revenue column.",USD,monthly,accrual,Taxable revenue has promotional/other adjustments; Accrual Win is retained separately. Never substitute taxable revenue for win.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://massgaming.com/wp-content/uploads/MGC-Revenue-Report-July-2026.pdf,data/raw/MA/2026-09-03/ccac154845a1a2e63dac0a33a9d725edf6eeaa2f2037365c9175596c92891517_MGC-Revenue-Report-July-2026.pdf,Settled wagers and Accrual Win are distinct from Taxable Gaming Revenue; promotional adjustments must be reviewed. Partial launch month March 2023. Definition validity across the whole stored history has not been inferred from this example.
MA,online_sports_betting,taxable_revenue,Taxable Gaming Revenue,Reported tax-base revenue after permitted adjustments; not gross win or a tax payment.,USD,monthly,accrual with tax adjustments,Taxable revenue has promotional/other adjustments; Accrual Win is retained separately. Never substitute taxable revenue for win.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://massgaming.com/wp-content/uploads/MGC-Revenue-Report-July-2026.pdf,data/raw/MA/2026-09-03/ccac154845a1a2e63dac0a33a9d725edf6eeaa2f2037365c9175596c92891517_MGC-Revenue-Report-July-2026.pdf,Settled wagers and Accrual Win are distinct from Taxable Gaming Revenue; promotional adjustments must be reviewed. Partial launch month March 2023. Definition validity across the whole stored history has not been inferred from this example.
MA,online_sports_betting,tax,Tax,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,Taxable revenue has promotional/other adjustments; Accrual Win is retained separately. Never substitute taxable revenue for win.,online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://massgaming.com/wp-content/uploads/MGC-Revenue-Report-July-2026.pdf,data/raw/MA/2026-09-03/ccac154845a1a2e63dac0a33a9d725edf6eeaa2f2037365c9175596c92891517_MGC-Revenue-Report-July-2026.pdf,Settled wagers and Accrual Win are distinct from Taxable Gaming Revenue; promotional adjustments must be reviewed. Partial launch month March 2023. Definition validity across the whole stored history has not been inferred from this example.
MA,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,unknown,unknown,unknown,unknown,unknown,none,https://massgaming.com/regulations/revenue/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
MD,online_sports_betting,handle,Handle,Reported wager volume for the selected online channel; not revenue.,USD,monthly,"wagers placed, including promotional play; later settlement may revise hold","Taxable win deducts prizes, promotional wagers and other deductions, including excise/adjustments. Loss carryforwards and treatment of negative taxable win differ by report. November 2022 prints negatives; July 2024 footnotes describe a zero floor and carryforward within three months. Do not infer the change date.",online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.mdgaming.com/wp-content/uploads/2026/08/July-2026-Sports-Wagering-Data.xlsx,data/raw/MD/2026-09-03/9a53e84c0807f379f00129315ea80621909bf4e1a40e9febdd16c02b838b0224_July-2026-Sports-Wagering-Data.xlsx,Archive pagination and older release titles are now supported; staging reaches the November 2022 mobile launch. Early mobile subtotal is labeled Combined inside MOBILE. November 2022 retains negative taxable win; later summaries may floor losses. Wagers placed can settle later; see footnotes before growth or hold. Definition validity across the whole stored history has not been inferred from this example.
MD,online_sports_betting,taxable_revenue,Taxable Win,Reported tax-base revenue after permitted adjustments; not gross win or a tax payment.,USD,monthly,unknown,"Taxable win deducts prizes, promotional wagers and other deductions, including excise/adjustments. Loss carryforwards and treatment of negative taxable win differ by report. November 2022 prints negatives; July 2024 footnotes describe a zero floor and carryforward within three months. Do not infer the change date.",online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.mdgaming.com/wp-content/uploads/2026/08/July-2026-Sports-Wagering-Data.xlsx,data/raw/MD/2026-09-03/9a53e84c0807f379f00129315ea80621909bf4e1a40e9febdd16c02b838b0224_July-2026-Sports-Wagering-Data.xlsx,Archive pagination and older release titles are now supported; staging reaches the November 2022 mobile launch. Early mobile subtotal is labeled Combined inside MOBILE. November 2022 retains negative taxable win; later summaries may floor losses. Wagers placed can settle later; see footnotes before growth or hold. Definition validity across the whole stored history has not been inferred from this example.
MD,online_sports_betting,tax,Contribution to the State,Reported contribution to the state on the mobile report; use the source treatment of adjustments and carryovers.,USD,monthly,funds payable; not proof of same-month cash receipt,"Taxable win deducts prizes, promotional wagers and other deductions, including excise/adjustments. Loss carryforwards and treatment of negative taxable win differ by report. November 2022 prints negatives; July 2024 footnotes describe a zero floor and carryforward within three months. Do not infer the change date.",online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.mdgaming.com/wp-content/uploads/2026/08/July-2026-Sports-Wagering-Data.xlsx,data/raw/MD/2026-09-03/9a53e84c0807f379f00129315ea80621909bf4e1a40e9febdd16c02b838b0224_July-2026-Sports-Wagering-Data.xlsx,Archive pagination and older release titles are now supported; staging reaches the November 2022 mobile launch. Early mobile subtotal is labeled Combined inside MOBILE. November 2022 retains negative taxable win; later summaries may floor losses. Wagers placed can settle later; see footnotes before growth or hold. Definition validity across the whole stored history has not been inferred from this example.
MD,online_casino,none,no collected metric,Checked the official regulator reporting/FAQ source and linked reporting categories; no separate online casino revenue series identified. This does not establish current legal status.,not applicable,none identified,unknown,"Taxable win deducts prizes, promotional wagers and other deductions, including excise/adjustments. Loss carryforwards and treatment of negative taxable win differ by report. November 2022 prints negatives; July 2024 footnotes describe a zero floor and carryforward within three months. Do not infer the change date.",unknown,unknown,unknown,unknown,none,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
ME,online_sports_betting,handle,Gross Event Wagering Receipts,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,"Voids, adjustments and federal excise are printed deduction rows. Promotion treatment not established by these labels remains unknown.",online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.maine.gov/dps/sites/maine.gov.dps/files/inline-files/website_Passamaquoddy%20WE%2007-31-2026.pdf,data\raw\ME\2026-09-05\a01b0e1fffc64fb8077e3941b174b7bfe7782541a31836c2a0e04f8581a2e7c7_website_Passamaquoddy_WE_07-31-2026.pdf,Two native tribal reporting groups; operator sums are not printed official statewide totals. YTD is a check only. No casino observations from TBA tables. Definition validity across the whole stored history has not been inferred from this example.
ME,online_sports_betting,adjusted_revenue,Adjusted Gross Receipts,"Gross event wagering receipts plus/minus report adjustments, less voided wagers, payouts and federal excise tax, as shown by the report rows.",USD,monthly,unknown,"Voids, adjustments and federal excise are printed deduction rows. Promotion treatment not established by these labels remains unknown.",online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.maine.gov/dps/sites/maine.gov.dps/files/inline-files/website_Passamaquoddy%20WE%2007-31-2026.pdf,data\raw\ME\2026-09-05\a01b0e1fffc64fb8077e3941b174b7bfe7782541a31836c2a0e04f8581a2e7c7_website_Passamaquoddy_WE_07-31-2026.pdf,Two native tribal reporting groups; operator sums are not printed official statewide totals. YTD is a check only. No casino observations from TBA tables. Definition validity across the whole stored history has not been inferred from this example.
ME,online_sports_betting,tax,Total Tax revenue Due,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,"Voids, adjustments and federal excise are printed deduction rows. Promotion treatment not established by these labels remains unknown.",online,"operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.maine.gov/dps/sites/maine.gov.dps/files/inline-files/website_Passamaquoddy%20WE%2007-31-2026.pdf,data\raw\ME\2026-09-05\a01b0e1fffc64fb8077e3941b174b7bfe7782541a31836c2a0e04f8581a2e7c7_website_Passamaquoddy_WE_07-31-2026.pdf,Two native tribal reporting groups; operator sums are not printed official statewide totals. YTD is a check only. No casino observations from TBA tables. Definition validity across the whole stored history has not been inferred from this example.
ME,online_casino,none,no collected metric,Official iGaming Revenue Distribution page lists tribal monthly reports as TBA; no operating numeric reports were posted at the check.,not applicable,none identified,unknown,unknown,online,unknown,unknown,unknown,none,https://www.maine.gov/dps/gcu/I-Gaming/I-Gaming-Revenue-Distribution,unknown,No observations fabricated. Check the TBA links after official reporting starts; do not fabricate pre-reporting zeros.
MI,online_sports_betting,handle,Handle,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=17cd847ea88a4b1a86245b055013b0cf&hash=15EFC480478985B51B370E433913CE29,data/raw/MI/2026-09-03/72aac626d0c6948063ddd215279ce046f8f10e5530f76677716725dd712ab99c_Internet-Sports-Betting---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MI,online_sports_betting,gross_revenue,Gross Receipts,Native reported gaming win/receipts in this source. Detailed deduction and timing equivalence is not established merely by this storage name.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=17cd847ea88a4b1a86245b055013b0cf&hash=15EFC480478985B51B370E433913CE29,data/raw/MI/2026-09-03/72aac626d0c6948063ddd215279ce046f8f10e5530f76677716725dd712ab99c_Internet-Sports-Betting---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MI,online_sports_betting,adjusted_revenue,Adjusted Gross,Reported adjusted revenue after state-defined adjustments; not a substitute for gross gaming win.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=17cd847ea88a4b1a86245b055013b0cf&hash=15EFC480478985B51B370E433913CE29,data/raw/MI/2026-09-03/72aac626d0c6948063ddd215279ce046f8f10e5530f76677716725dd712ab99c_Internet-Sports-Betting---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MI,online_sports_betting,tax,State tax / payment,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Sports-Betting---2026.xlsx?rev=17cd847ea88a4b1a86245b055013b0cf&hash=15EFC480478985B51B370E433913CE29,data/raw/MI/2026-09-03/72aac626d0c6948063ddd215279ce046f8f10e5530f76677716725dd712ab99c_Internet-Sports-Betting---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MI,online_casino,gross_revenue,Gross Receipts,Native reported gaming win/receipts in this source. Detailed deduction and timing equivalence is not established merely by this storage name.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ff226c04b053461ba3fcbd87bf24fdf4&hash=A49CAD46FFBA2B3B63EB24B35DC45C3D,data/raw/MI/2026-09-03/69663920af1cd84804481f46149cfd9917c8bd0d274c25319e514a8b9059296a_Internet-Gaming---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MI,online_casino,adjusted_revenue,Adjusted Gross,Reported adjusted revenue after state-defined adjustments; not a substitute for gross gaming win.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ff226c04b053461ba3fcbd87bf24fdf4&hash=A49CAD46FFBA2B3B63EB24B35DC45C3D,data/raw/MI/2026-09-03/69663920af1cd84804481f46149cfd9917c8bd0d274c25319e514a8b9059296a_Internet-Gaming---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MI,online_casino,tax,State tax / payment,Reported tax/contribution or explicitly summed source tax lines; tax timing and coverage are source-specific.,USD,monthly,unknown,Adjusted Gross includes product-specific permitted deductions; historical promotion limits and loss treatment require the applicable report footnotes.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.michigan.gov/mgcb/-/media/Project/Websites/mgcb/Detroit-Casino-Revenue-Files/Internet-Gaming---2026.xlsx?rev=ff226c04b053461ba3fcbd87bf24fdf4&hash=A49CAD46FFBA2B3B63EB24B35DC45C3D,data/raw/MI/2026-09-03/69663920af1cd84804481f46149cfd9917c8bd0d274c25319e514a8b9059296a_Internet-Gaming---2026.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
MN,online_sports_betting,none,no collected metric,Current DPS consumer guidance explicitly describes online sports betting and gaming as illegal; do not record offshore or prediction-market activity as regulated state revenue.,not applicable,none identified,unknown,unknown,not offered,unknown,unknown,unknown,none,https://dps.mn.gov/news/age/want-bet-super-bowl-knowing-law-can-help-you-stay-safe-and-legal,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
MN,online_casino,none,no collected metric,Current DPS consumer guidance explicitly describes online sports betting and gaming as illegal; do not record offshore or prediction-market activity as regulated state revenue.,not applicable,none identified,unknown,unknown,not offered,unknown,unknown,unknown,none,https://dps.mn.gov/news/age/want-bet-super-bowl-knowing-law-can-help-you-stay-safe-and-legal,unknown,No observations fabricated. Recheck the named official source for a product launch or separate public series; retain no zero observations.
MO,online_sports_betting,handle,HANDLE,Reported wager volume for the selected online channel; not revenue.,USD,monthly,unknown,Taxable AGR includes permitted deductions and carryovers; a zero tax can coexist with reported taxable values. Do not infer gross win.,online,"official_statewide_total;operator; operator identifiers are native reporting names, not a harmonized brand map",unknown,unknown,2026-07-01 to 2026-07-31,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY27_SWFinReport/07_Jul/SW%20Monthly%20Financials%200726.xlsx,data/raw/MO/2026-09-03/6b8807ea8ed289f594b9ce2006b6a7cab9db6fc5701c3afc342e6721bc1de3c5_SW_Monthly_Financials_0726.xlsx,Retained official reports parsed with state-specific field mappings and focused fixture checks. Representative validation does not prove full operator coverage or historical definition consistency. Definition validity across the whole stored history has not been inferred from this example.
